seondary             mass    charge	   10 MeV 	   20 MeV 	   30 MeV 	   40 MeV 	   50 MeV 	   60 MeV 	   70 MeV 	   80 MeV 	   90 MeV 	  100 MeV 	  110 MeV 	  120 MeV 	  130 MeV 	  140 MeV 	  150 MeV 	  160 MeV 	  170 MeV 	  180 MeV 	  190 MeV 	  200 MeV 	  210 MeV 	  220 MeV 	  230 MeV 	  240 MeV 	  250 MeV 	  260 MeV 	  270 MeV 	  280 MeV 	  290 MeV 	  300 MeV 	  310 MeV 	  320 MeV 	  330 MeV 	  340 MeV 	  350 MeV 	  360 MeV 	  370 MeV 	  380 MeV 	  390 MeV 	  400 MeV 	  410 MeV 	  420 MeV 	  430 MeV 	  440 MeV 	  450 MeV 
Al25            23271.807        13	   6.49999993E-06	   6.10999996E-04	   1.45650003E-03	   2.51500006E-03	   3.65850003E-03	   3.81799997E-03	   3.75499995E-03	   3.64449993E-03	   3.64649994E-03	   3.77200008E-03	   3.36449989E-03	   2.94300006E-03	   2.41399999E-03	   1.84699998E-03	   1.44699996E-03	   1.44250004E-03	   1.43900001E-03	   1.41100003E-03	   1.40349998E-03	   1.43850001E-03	   1.38050003E-03	   1.42200000E-03	   1.43349997E-03	   1.41549995E-03	   1.47599995E-03	   1.42099999E-03	   1.45450002E-03	   1.42850005E-03	   1.39999995E-03	   1.43800001E-03	   1.41449994E-03	   1.41649996E-03	   1.48600002E-03	   1.43650000E-03	   1.43499998E-03	   1.46299996E-03	   1.42099999E-03	   1.38449995E-03	   1.43049995E-03	   1.46399997E-03	   1.43049995E-03	   1.42099999E-03	   1.43599999E-03	   1.46299996E-03	   1.39700004E-03
Al26            24200.006        13	   9.79999968E-05	   6.22900017E-03	   1.14585003E-02	   1.25244996E-02	   1.19510004E-02	   1.12495003E-02	   1.06849996E-02	   1.02255000E-02	   1.00929998E-02	   1.16969999E-02	   1.25949997E-02	   1.22090001E-02	   1.17539996E-02	   1.10665001E-02	   1.02800000E-02	   1.01845004E-02	   9.87750012E-03	   9.71349981E-03	   9.64100007E-03	   9.61500034E-03	   9.50550009E-03	   9.44699999E-03	   9.38150007E-03	   9.34000034E-03	   9.26200021E-03	   9.33250040E-03	   9.25800018E-03	   9.23349988E-03	   9.26650036E-03	   9.15899966E-03	   9.15099960E-03	   9.19650029E-03	   9.17700026E-03	   9.04799998E-03	   9.02399980E-03	   8.98000039E-03	   8.89299996E-03	   8.94549955E-03	   9.00899991E-03	   8.91149975E-03	   8.95749964E-03	   8.84750020E-03	   8.86350032E-03	   8.85699969E-03	   8.95250030E-03
Al27            25126.514        13	   4.12499998E-04	   1.78520009E-02	   2.78385002E-02	   2.52745003E-02	   2.20375005E-02	   2.04370003E-02	   1.96154993E-02	   1.90130007E-02	   1.90299992E-02	   2.26514991E-02	   2.53270008E-02	   2.48300005E-02	   2.40895003E-02	   2.33490001E-02	   2.21625008E-02	   2.17279997E-02	   2.13580001E-02	   2.07579993E-02	   2.06534993E-02	   2.02360004E-02	   2.01085005E-02	   1.99724995E-02	   1.96260009E-02	   1.94269996E-02	   1.93620007E-02	   1.93045009E-02	   1.90740004E-02	   1.88919995E-02	   1.87350009E-02	   1.87264998E-02	   1.85959991E-02	   1.86525006E-02	   1.84125006E-02	   1.82409994E-02	   1.83585007E-02	   1.81945004E-02	   1.81699991E-02	   1.81684997E-02	   1.80795006E-02	   1.78089999E-02	   1.78309996E-02	   1.79065000E-02	   1.77580006E-02	   1.79494992E-02	   1.78200006E-02
Al28            26058.354        13	   6.94999981E-05	   4.23600012E-03	   7.42849987E-03	   6.91050012E-03	   6.50400016E-03	   6.10599993E-03	   6.01849984E-03	   5.88299986E-03	   5.92149980E-03	   6.63200021E-03	   6.98000006E-03	   6.63500000E-03	   6.32299995E-03	   5.79399988E-03	   5.42100007E-03	   5.28299995E-03	   5.07850014E-03	   4.97649983E-03	   4.79750009E-03	   4.81850002E-03	   4.74700006E-03	   4.62150015E-03	   4.59549995E-03	   4.55499999E-03	   4.50900011E-03	   4.55649989E-03	   4.52050008E-03	   4.33599995E-03	   4.32150019E-03	   4.34250012E-03	   4.32900013E-03	   4.31100000E-03	   4.30550007E-03	   4.26449999E-03	   4.23600012E-03	   4.21850011E-03	   4.26700013E-03	   4.12900001E-03	   4.18999977E-03	   4.09349985E-03	   4.15399997E-03	   4.13550017E-03	   4.08349978E-03	   4.16250015E-03	   4.12799977E-03
Al29            26988.482        13	   5.50000004E-06	   7.21000019E-04	   2.12450000E-03	   2.38150009E-03	   2.50849989E-03	   2.64550000E-03	   2.61100009E-03	   2.63700006E-03	   2.54000002E-03	   2.45900010E-03	   2.06699991E-03	   1.87849998E-03	   1.47599995E-03	   1.20349997E-03	   8.85999994E-04	   8.24999996E-04	   8.83499975E-04	   8.14499974E-04	   7.90000020E-04	   7.98000023E-04	   8.07999982E-04	   7.39499985E-04	   7.68999977E-04	   7.00499979E-04	   7.23999983E-04	   7.25999998E-04	   7.61499978E-04	   7.38499977E-04	   7.07999978E-04	   7.22999976E-04	   7.23999983E-04	   7.20500015E-04	   7.40499992E-04	   7.02999998E-04	   7.13000016E-04	   6.96000003E-04	   7.17499992E-04	   6.73000002E-04	   6.90500019E-04	   7.02999998E-04	   6.85499981E-04	   6.64499996E-04	   7.01499986E-04	   7.06000021E-04	   7.02999998E-04
alpha            3727.380         2	  0.635056671    	  1.711234869    	  1.992880940    	  2.205545430    	  2.326773410    	  2.374671460    	  2.373549460    	  2.374739890    	  2.335839510    	  2.227031950    	  1.775068040    	  1.702494952    	  1.723721296    	  1.764015119    	  1.789195762    	  1.894616960    	  1.896981480    	  1.896389960    	  1.851011289    	  1.840209171    	  1.832028611    	  1.819630200    	  1.807565900    	  1.742674727    	  1.732534437    	  1.722516782    	  1.712501844    	  1.703472521    	  1.697354588    	  1.687349625    	  1.680893425    	  1.674204950    	  1.668715888    	  1.662691387    	  1.656302228    	  1.652189603    	  1.646626934    	  1.643232071    	  1.639655331    	  1.635651537    	   1.71870446    	   1.71417654    	   1.71171498    	   1.70982003    	   1.70713699    
Ar35            32570.068        18	   2.06399988E-03	   5.91150019E-03	   5.43549983E-03	   5.45600010E-03	   5.53350011E-03	   5.36949979E-03	   5.16999979E-03	   4.89450013E-03	   4.89600003E-03	   4.86750016E-03	   4.62750020E-03	   4.27650008E-03	   3.95849999E-03	   3.60050006E-03	   3.33749992E-03	   3.22950003E-03	   3.23750009E-03	   3.08350008E-03	   3.03249992E-03	   3.04899993E-03	   3.03800008E-03	   2.96600000E-03	   3.02250008E-03	   2.99499999E-03	   2.99949991E-03	   3.01699992E-03	   3.00200004E-03	   3.01950006E-03	   3.04499990E-03	   2.99800001E-03	   2.99199997E-03	   3.02900001E-03	   3.02450010E-03	   2.98699993E-03	   2.97200005E-03	   3.03000002E-03	   2.97349994E-03	   2.94000003E-03	   2.96499999E-03	   3.04850005E-03	   2.99450010E-03	   3.00500006E-03	   2.99600000E-03	   2.98550003E-03	   2.98199989E-03
Ar36            33494.383        18	   2.51735002E-02	   4.60354984E-02	   3.93594988E-02	   3.74610014E-02	   3.59004997E-02	   3.41220014E-02	   3.32455002E-02	   3.24255005E-02	   3.16760018E-02	   3.00389994E-02	   3.02000009E-02	   3.01360004E-02	   2.80620009E-02	   2.60019992E-02	   2.48994995E-02	   2.40460001E-02	   2.35814992E-02	   2.27464996E-02	   2.26470008E-02	   2.24904995E-02	   2.18765009E-02	   2.18985006E-02	   2.16630008E-02	   2.16320008E-02	   2.13594995E-02	   2.13044994E-02	   2.12370008E-02	   2.10350007E-02	   2.08850000E-02	   2.08369996E-02	   2.08410006E-02	   2.08314992E-02	   2.05384996E-02	   2.07094997E-02	   2.04550009E-02	   2.04349998E-02	   2.05095001E-02	   2.04715002E-02	   2.03859992E-02	   2.03425009E-02	   2.01399997E-02	   2.02500001E-02	   2.03610007E-02	   1.99490003E-02	   1.98539998E-02
Ar37            34425.156        18	   3.74009982E-02	   6.03090003E-02	   5.07140011E-02	   4.71840017E-02	   4.30895016E-02	   4.00565006E-02	   3.83590013E-02	   3.59230004E-02	   3.73384990E-02	   3.60310003E-02	   3.65615003E-02	   3.56380008E-02	   3.48095000E-02	   3.44140008E-02	   3.34849991E-02	   3.24255005E-02	   3.14434990E-02	   3.03624999E-02	   2.97139995E-02	   2.90415008E-02	   2.87400000E-02	   2.82474998E-02	   2.77904999E-02	   2.73394994E-02	   2.71645002E-02	   2.67999992E-02	   2.68019997E-02	   2.65584998E-02	   2.63209995E-02	   2.60559991E-02	   2.59655006E-02	   2.57200003E-02	   2.57980004E-02	   2.54699998E-02	   2.52299998E-02	   2.54110005E-02	   2.51755007E-02	   2.50004996E-02	   2.48220004E-02	   2.47760005E-02	   2.47740000E-02	   2.45175008E-02	   2.44135000E-02	   2.41644997E-02	   2.39840001E-02
Ar38            35352.887        18	   7.18730018E-02	   7.15745017E-02	   5.43294996E-02	   5.08649983E-02	   4.73545007E-02	   4.57290001E-02	   4.56715003E-02	   4.66700010E-02	   4.48524989E-02	   4.43505011E-02	   4.74325009E-02	   4.28549983E-02	   3.72110009E-02	   3.46699990E-02	   3.33214998E-02	   3.17520015E-02	   3.02970000E-02	   2.93940008E-02	   2.82589998E-02	   2.72784997E-02	   2.69709993E-02	   2.64069997E-02	   2.60300003E-02	   2.54250001E-02	   2.51954999E-02	   2.50439998E-02	   2.47475002E-02	   2.45689992E-02	   2.44069993E-02	   2.41414998E-02	   2.41024997E-02	   2.39349995E-02	   2.35204995E-02	   2.38074996E-02	   2.33395007E-02	   2.33130008E-02	   2.31895000E-02	   2.32075006E-02	   2.31164992E-02	   2.29010005E-02	   2.27825008E-02	   2.27700006E-02	   2.25109998E-02	   2.23555006E-02	   2.24715006E-02
B10              9324.439         5	  0.080158398    	  0.040117000    	  0.029340001    	  0.034656599    	  0.025182500    	  0.023348499    	  0.022493500    	  0.021186501    	  0.019229900    	  0.015203800    	  0.017280001    	  0.020909700    	  0.025273351    	  0.027712351    	  0.029850301    	  0.029569500    	  0.028797752    	  0.028566451    	  0.028134451    	  0.027914851    	  0.027496351    	  0.027162900    	  0.026953651    	  0.026958150    	  0.026742150    	  0.026466749    	  0.026372250    	  0.026521649    	  0.026207551    	  0.026023950    	  0.022985201    	  0.022960800    	  0.022922800    	  0.023030800    	  0.022837999    	  0.022837199    	  0.022703999    	  0.022589201    	  0.022584800    	  0.022656000    	   2.82335002E-02	   2.79415008E-02	   2.81304996E-02	   2.78695002E-02	   2.77440008E-02
B11             10252.551         5	  0.218236908    	  0.174388504    	  0.161368504    	  0.186351604    	  0.148294494    	  0.141649500    	  0.136080995    	  0.131845996    	  0.123362724    	  0.120305147    	  0.099984149    	  0.090571050    	  0.084788550    	  0.077822102    	  0.070379549    	  0.069395399    	  0.068746050    	  0.067707451    	  0.066950103    	  0.066716999    	  0.066016352    	  0.065876850    	  0.065665801    	  0.065520901    	  0.064972349    	  0.064966951    	  0.064717647    	  0.064453047    	  0.064656901    	  0.064385100    	  0.057355601    	  0.057515198    	  0.057327199    	  0.057223600    	  0.056896800    	  0.057018799    	  0.056760401    	  0.057076001    	  0.056695998    	  0.056711602    	   7.08594993E-02	   7.10820034E-02	   7.11899996E-02	   7.08959997E-02	   7.05495030E-02
B12             11188.746         5	   1.90000006E-04	   6.04000001E-04	   1.19700003E-03	   1.92199997E-03	   2.48400006E-03	   2.72500003E-03	   2.88500008E-03	   2.80050002E-03	   2.63649994E-03	   2.14200001E-03	   1.70300005E-03	   1.63800002E-03	   1.87749998E-03	   1.84050004E-03	   1.68900006E-03	   1.76000001E-03	   1.69149996E-03	   1.71450002E-03	   1.66800001E-03	   1.70100003E-03	   1.69599999E-03	   1.67799997E-03	   1.65350002E-03	   1.58249994E-03	   1.63800002E-03	   1.61849998E-03	   1.60399999E-03	   1.59750006E-03	   1.58050004E-03	   1.62600004E-03	   1.57349999E-03	   1.60600001E-03	   1.58549997E-03	   1.51350000E-03	   1.52699999E-03	   1.53699995E-03	   1.53200002E-03	   1.58649997E-03	   1.55050005E-03	   1.56849995E-03	   1.57149998E-03	   1.55100005E-03	   1.51950005E-03	   1.56400003E-03	   1.48750003E-03
B8               7472.321         5	   3.57000012E-04	   3.08199995E-03	   4.04000003E-03	   4.98049986E-03	   5.89249982E-03	   6.19449979E-03	   6.39700005E-03	   6.26849988E-03	   5.93800005E-03	   4.95250011E-03	   4.62900009E-03	   4.68150014E-03	   4.85150004E-03	   5.75650018E-03	   6.61749998E-03	   6.54899981E-03	   6.76599983E-03	   6.77549979E-03	   6.99800020E-03	   6.99249981E-03	   7.03600002E-03	   6.99499995E-03	   7.03549990E-03	   7.07900012E-03	   7.03600002E-03	   7.20749982E-03	   7.09349988E-03	   7.26999994E-03	   7.29550002E-03	   7.34050013E-03	   7.38900015E-03	   7.41200009E-03	   7.50150019E-03	   7.52100023E-03	   7.63500016E-03	   7.55550014E-03	   7.64800003E-03	   7.60449981E-03	   7.66649982E-03	   7.64699979E-03	   7.70749990E-03	   7.76199996E-03	   7.73400022E-03	   7.86700007E-03	   7.74700008E-03
Be10             9325.506         4	   1.44515000E-02	   1.74490009E-02	   1.49100004E-02	   1.68270003E-02	   1.77500006E-02	   1.65114999E-02	   1.48235001E-02	   1.32825002E-02	   1.21449996E-02	   9.39350016E-03	   7.82900024E-03	   7.85650034E-03	   8.37399997E-03	   9.44899954E-03	   1.03705004E-02	   1.04250005E-02	   1.05555002E-02	   1.07779996E-02	   1.06250001E-02	   1.09190000E-02	   1.08380001E-02	   1.07730003E-02	   1.06119998E-02	   1.07810004E-02	   1.07164998E-02	   1.07270004E-02	   1.07140001E-02	   1.06790001E-02	   1.06325001E-02	   1.06020002E-02	   1.08040003E-02	   1.06090000E-02	   1.06800003E-02	   1.04715005E-02	   1.06480001E-02	   1.05715003E-02	   1.05785001E-02	   1.05330003E-02	   1.05299996E-02	   1.06640002E-02	   1.04935002E-02	   1.06905000E-02	   1.06715001E-02	   1.06314998E-02	   1.05860000E-02
Be7              6534.186         4	  0.032946001    	  0.051322499    	  0.063493498    	  0.057392402    	  0.050255500    	  0.047286999    	  0.043607000    	  0.041673999    	  0.038506500    	  0.031553000    	  0.034007501    	  0.036761199    	  0.043299999    	  0.046940927    	  0.054687104    	  0.050212351    	  0.050201552    	  0.050347799    	  0.050034152    	  0.049837951    	  0.049776750    	  0.049452300    	  0.049523851    	  0.049752000    	  0.049195351    	  0.048974031    	  0.048927749    	  0.048952669    	  0.048903274    	  0.049019864    	  0.048111001    	  0.048114479    	  0.047919600    	  0.048056189    	  0.048135795    	  0.045943819    	  0.045591901    	  0.045958345    	  0.045949215    	  0.046021011    	   5.51620014E-02	   5.52274995E-02	   5.56389987E-02	   5.55850007E-02	   5.56544997E-02
Be9              8392.753         4	  0.005674500    	  0.010234500    	  0.019878000    	  0.020034599    	  0.019959001    	  0.023417501    	  0.026556499    	  0.028639499    	  0.030208500    	  0.028327500    	  0.025635000    	  0.021182625    	  0.019487999    	  0.016559450    	  0.016262729    	  0.014929201    	  0.015025949    	  0.014917050    	  0.014879700    	  0.014913900    	  0.014785199    	  0.014526001    	  0.014506199    	  0.014596650    	  0.014377500    	  0.014129641    	  0.014021059    	  0.014162124    	  0.014102495    	  0.013958315    	  0.013522410    	  0.013642470    	  0.013544160    	  0.013515450    	  0.013407570    	  0.012804825    	  0.012797355    	  0.012823085    	  0.012801920    	  0.012738010    	   1.54705001E-02	   1.52904997E-02	   1.54154999E-02	   1.51795000E-02	   1.52749997E-02
C10              9327.577         6	   1.17055001E-02	   7.34650018E-03	   6.08099997E-03	   5.48150018E-03	   4.32500010E-03	   4.00550012E-03	   4.26949980E-03	   4.53349994E-03	   4.87350021E-03	   4.47349995E-03	   4.42800019E-03	   4.42200014E-03	   4.67600022E-03	   5.05799986E-03	   5.18999994E-03	   5.30949980E-03	   5.35300002E-03	   5.33600012E-03	   5.35249989E-03	   5.38100023E-03	   5.36650000E-03	   5.34299994E-03	   5.28449984E-03	   5.26450016E-03	   5.27149998E-03	   5.35049988E-03	   5.39450021E-03	   5.34649985E-03	   5.37900021E-03	   5.39600011E-03	   5.40499995E-03	   5.46200015E-03	   5.39950002E-03	   5.41249989E-03	   5.37900021E-03	   5.42799989E-03	   5.46600018E-03	   5.36650000E-03	   5.48399985E-03	   5.46249980E-03	   5.45400009E-03	   5.45600010E-03	   5.40000014E-03	   5.49999997E-03	   5.48550021E-03
C11             10254.022         6	  0.057441999    	  0.179354677    	  0.179143873    	  0.205942174    	  0.149654443    	  0.144669250    	  0.141659647    	  0.135962212    	  0.133906468    	  0.128645824    	  0.117343597    	  0.108743799    	  0.102234003    	  0.094101151    	  0.086334603    	  0.086805774    	  0.086170164    	  0.085110992    	  0.084811980    	  0.084307639    	  0.082297046    	  0.082222253    	  0.081693151    	  0.081631552    	  0.081481400    	  0.081639797    	  0.081538048    	  0.081428604    	  0.080856048    	  0.081243251    	  0.081058997    	  0.080917647    	  0.081074954    	  0.080814251    	  0.080914901    	  0.073129813    	  0.073144167    	  0.072567992    	  0.073060021    	  0.072591751    	   7.33285025E-02	   7.34374970E-02	   7.30329975E-02	   7.34179989E-02	   7.31439963E-02
C12             11174.867         6	  0.011667480    	  0.041977321    	  0.040090842    	  0.058720089    	  0.044792001    	  0.042941250    	  0.047510650    	  0.043940360    	  0.040713903    	  0.039334602    	  0.043349351    	  0.049200251    	  0.058088802    	  0.054297651    	  0.049485701    	  0.049538543    	  0.048606725    	  0.047766343    	  0.047032558    	  0.046527094    	  0.044921250    	  0.044229899    	  0.043909249    	  0.043316901    	  0.042724000    	  0.042486400    	  0.041618498    	  0.041680650    	  0.041676802    	  0.041176298    	  0.040631801    	  0.040719801    	  0.040468998    	  0.040093900    	  0.039954202    	  0.035950365    	  0.035902845    	  0.035442497    	  0.035388046    	  0.035362304    	   3.55800018E-02	   3.54364999E-02	   3.54029983E-02	   3.52329984E-02	   3.52610014E-02
C13             12109.486         6	   5.30700013E-03	   8.40849988E-03	   1.08535001E-02	   1.43884998E-02	   1.45960003E-02	   1.40455002E-02	   1.32445004E-02	   1.22445002E-02	   1.09655000E-02	   9.75949969E-03	   1.02190003E-02	   1.28119998E-02	   1.67845003E-02	   1.52700003E-02	   1.33400001E-02	   1.32235000E-02	   1.29664997E-02	   1.29934996E-02	   1.28415003E-02	   1.25169996E-02	   1.24025000E-02	   1.22934999E-02	   1.22649996E-02	   1.21240001E-02	   1.21250004E-02	   1.18800001E-02	   1.20054996E-02	   1.17840003E-02	   1.17889997E-02	   1.17039997E-02	   1.16579998E-02	   1.16879996E-02	   1.15635004E-02	   1.16705000E-02	   1.14655001E-02	   1.14524998E-02	   1.14120003E-02	   1.13840001E-02	   1.14240004E-02	   1.13505004E-02	   1.12305004E-02	   1.14920000E-02	   1.13260001E-02	   1.11990003E-02	   1.12239998E-02
C14             13040.875         6	   6.74999974E-05	   1.51500001E-03	   2.55350000E-03	   3.49900010E-03	   3.86549998E-03	   4.05699993E-03	   3.73200001E-03	   3.32499994E-03	   2.84050009E-03	   2.32449989E-03	   2.11800006E-03	   2.84749991E-03	   4.25249990E-03	   3.39350011E-03	   2.60300003E-03	   2.56599998E-03	   2.53849989E-03	   2.52750004E-03	   2.47499999E-03	   2.47150008E-03	   2.43000011E-03	   2.43350002E-03	   2.40050000E-03	   2.37750006E-03	   2.36800010E-03	   2.32700002E-03	   2.32099998E-03	   2.30049994E-03	   2.26349989E-03	   2.29050010E-03	   2.23249989E-03	   2.30449997E-03	   2.20200000E-03	   2.27249996E-03	   2.32250011E-03	   2.24999990E-03	   2.23700004E-03	   2.23800004E-03	   2.21100007E-03	   2.22350005E-03	   2.19850009E-03	   2.14200001E-03	   2.16250005E-03	   2.20249989E-03	   2.19550007E-03
C9               8409.298         6	   2.32000006E-04	   4.86000004E-04	   4.96499997E-04	   7.23999983E-04	   9.13999975E-04	   1.14700000E-03	   1.39200001E-03	   1.61799998E-03	   1.68300001E-03	   1.53400004E-03	   1.33300002E-03	   1.13300001E-03	   9.03000007E-04	   1.11149997E-03	   1.19650003E-03	   1.25750003E-03	   1.31399999E-03	   1.33000000E-03	   1.33799994E-03	   1.39800005E-03	   1.39899994E-03	   1.39750005E-03	   1.43349997E-03	   1.46499998E-03	   1.43700000E-03	   1.48700003E-03	   1.47050002E-03	   1.52749999E-03	   1.43650000E-03	   1.50100002E-03	   1.54600001E-03	   1.55649998E-03	   1.56550005E-03	   1.58100005E-03	   1.61549996E-03	   1.64350006E-03	   1.59100001E-03	   1.59650005E-03	   1.62650004E-03	   1.60049996E-03	   1.59849995E-03	   1.61949999E-03	   1.62700005E-03	   1.65200001E-03	   1.66249997E-03
Ca38            35364.523        20	   6.20000006E-04	   1.72399997E-03	   1.96600007E-03	   1.67050003E-03	   1.46299996E-03	   1.25850004E-03	   1.12499995E-03	   1.07100001E-03	   1.06449996E-03	   9.36999975E-04	   1.35849998E-03	   1.72099995E-03	   2.07199994E-03	   2.38749990E-03	   2.70400010E-03	   2.68899999E-03	   2.61699990E-03	   2.60749995E-03	   2.55049998E-03	   2.57849996E-03	   2.63649994E-03	   2.65350007E-03	   2.63749994E-03	   2.69249990E-03	   2.61400011E-03	   2.54349993E-03	   2.64699990E-03	   2.60500005E-03	   2.61049997E-03	   2.67899991E-03	   2.67950003E-03	   2.57849996E-03	   2.67650001E-03	   2.68599996E-03	   2.63900007E-03	   2.67550000E-03	   2.68499996E-03	   2.69849994E-03	   2.70300009E-03	   2.73200008E-03	   2.74050003E-03	   2.76600011E-03	   2.77899997E-03	   2.61999993E-03	   2.67650001E-03
Ca39            36290.801        20	   1.73614994E-02	   1.92479994E-02	   1.76225007E-02	   1.55649995E-02	   1.34655004E-02	   1.26130003E-02	   1.19409999E-02	   1.14869997E-02	   1.10215005E-02	   1.06859999E-02	   2.23845001E-02	   3.11520007E-02	   3.93885002E-02	   4.69570011E-02	   5.46415001E-02	   5.30385002E-02	   5.17845005E-02	   5.06545007E-02	   5.03120013E-02	   4.98960018E-02	   4.91415001E-02	   4.88064997E-02	   4.88274992E-02	   4.88055013E-02	   4.84734997E-02	   4.86545004E-02	   4.84910011E-02	   4.83070016E-02	   4.83230017E-02	   4.83194999E-02	   4.80225012E-02	   4.83424999E-02	   4.83280011E-02	   4.83659990E-02	   4.82960008E-02	   4.82579991E-02	   4.81925011E-02	   4.81695011E-02	   4.80175018E-02	   4.77939993E-02	   4.78295013E-02	   4.77995016E-02	   4.77224998E-02	   4.75549996E-02	   4.75049987E-02
Ca40            37214.727        20	   8.94455016E-02	   5.52470013E-02	   3.07845008E-02	   2.44765002E-02	   2.35810000E-02	   2.18209997E-02	   1.82124991E-02	   1.42970001E-02	   1.26224998E-02	   1.80580001E-02	   2.33849995E-02	   2.09720004E-02	   1.87819991E-02	   1.66654997E-02	   1.44849997E-02	   1.35765001E-02	   1.23974998E-02	   1.17159998E-02	   1.10705001E-02	   1.05074998E-02	   1.00039998E-02	   9.63000022E-03	   9.27300006E-03	   8.92100018E-03	   8.60800035E-03	   8.27900041E-03	   7.92799983E-03	   7.67900003E-03	   7.51949986E-03	   7.27949990E-03	   7.07850000E-03	   6.94649993E-03	   6.61899988E-03	   6.51750015E-03	   6.33449992E-03	   6.27900008E-03	   6.13400014E-03	   5.99650014E-03	   5.96900005E-03	   5.89849986E-03	   5.78700006E-03	   5.70849981E-03	   5.69149991E-03	   5.55599993E-03	   5.57099981E-03
Ca41            38145.930        20	   4.25034985E-02	   1.20740002E-02	   5.03200013E-03	   3.11900000E-03	   2.26199999E-03	   1.66449999E-03	   1.28500001E-03	   1.15449994E-03	   1.09549996E-03	   1.00950000E-03	   9.99000040E-04	   9.04500019E-04	   8.37000029E-04	   7.69999984E-04	   7.52000022E-04	   7.28000014E-04	   7.14000023E-04	   6.73500006E-04	   6.70999987E-04	   6.16499980E-04	   6.41499995E-04	   6.33999996E-04	   6.10999996E-04	   6.12000003E-04	   5.69500029E-04	   6.23499975E-04	   5.79499989E-04	   5.77999977E-04	   5.57499996E-04	   5.54000027E-04	   5.76500024E-04	   5.40999987E-04	   5.94999990E-04	   5.56999992E-04	   5.88499999E-04	   5.56999992E-04	   5.40499983E-04	   5.67500014E-04	   5.49999997E-04	   5.49999997E-04	   5.64999995E-04	   5.42499998E-04	   5.38999971E-04	   5.68500021E-04	   5.25999989E-04
Ca42            39074.012        20	   4.72325012E-02	   6.25400012E-03	   2.92150001E-03	   1.92049996E-03	   1.66549999E-03	   1.51850004E-03	   1.44450006E-03	   1.42049999E-03	   1.40900002E-03	   1.36600004E-03	   1.50849996E-03	   1.41449994E-03	   1.18549995E-03	   1.14850001E-03	   1.13949995E-03	   1.08750002E-03	   1.04450004E-03	   9.85000050E-04	   9.43500025E-04	   9.68499982E-04	   9.22499981E-04	   9.19500017E-04	   8.93499993E-04	   8.69999989E-04	   8.14999978E-04	   8.52499972E-04	   8.43000016E-04	   8.36000021E-04	   7.88500009E-04	   8.23499984E-04	   7.92999985E-04	   8.32999998E-04	   7.79499998E-04	   8.05500022E-04	   7.98500027E-04	   7.78999995E-04	   7.61499978E-04	   7.95000000E-04	   7.49500003E-04	   7.52000022E-04	   7.59000017E-04	   7.49500003E-04	   7.22000026E-04	   7.51500018E-04	   7.37999973E-04
Ca43            40005.645        20	   1.68110002E-02	   2.11400003E-03	   1.41100003E-03	   1.16700004E-03	   1.07949995E-03	   1.11850002E-03	   1.09200005E-03	   1.03749998E-03	   1.05750002E-03	   9.10500006E-04	   9.39499994E-04	   1.15549995E-03	   1.39150000E-03	   1.55299995E-03	   1.59600005E-03	   1.51950005E-03	   1.52799999E-03	   1.44499994E-03	   1.40950002E-03	   1.39300001E-03	   1.40449998E-03	   1.31800002E-03	   1.36999995E-03	   1.31500000E-03	   1.33700005E-03	   1.29050005E-03	   1.30250002E-03	   1.23850000E-03	   1.28500001E-03	   1.29399996E-03	   1.26050005E-03	   1.29299995E-03	   1.27050001E-03	   1.31199998E-03	   1.25750003E-03	   1.26699999E-03	   1.26549997E-03	   1.22600002E-03	   1.25049998E-03	   1.24300004E-03	   1.26199995E-03	   1.24899996E-03	   1.21200003E-03	   1.21899997E-03	   1.23299996E-03
Cl33            30709.635        17	   2.14999993E-04	   2.47299997E-03	   2.47650011E-03	   2.70500011E-03	   2.79100006E-03	   2.87150010E-03	   2.87199998E-03	   2.84800003E-03	   2.63449992E-03	   2.46850005E-03	   2.24049995E-03	   1.97399990E-03	   1.76350004E-03	   1.46699999E-03	   1.24400004E-03	   1.17299997E-03	   1.21350004E-03	   1.17800001E-03	   1.16250000E-03	   1.17299997E-03	   1.18999998E-03	   1.21899997E-03	   1.16750004E-03	   1.18200004E-03	   1.20699999E-03	   1.15200004E-03	   1.25199999E-03	   1.23950001E-03	   1.20199996E-03	   1.20199996E-03	   1.20950001E-03	   1.22550002E-03	   1.22700003E-03	   1.19700003E-03	   1.20449997E-03	   1.23149995E-03	   1.22049998E-03	   1.23399997E-03	   1.23299996E-03	   1.26249995E-03	   1.20000006E-03	   1.22099998E-03	   1.21450005E-03	   1.19450002E-03	   1.22049998E-03
